id,file,category,chapter,runtime_size,alpha,storage,atlas,priority,status
TILE-BASE-01,tile_base_ch1_serenity.png,tile_base,ch1,192x240,yes,atlas,tiles_ch1,P0,APPROVED
TILE-BASE-02,tile_base_ch2_sakura.png,tile_base,ch2,192x240,yes,atlas,tiles_ch2,P0,APPROVED
TILE-BASE-03,tile_base_ch3_temple.png,tile_base,ch3,192x240,yes,atlas,tiles_ch3,P0,APPROVED
TILE-COM-01,tile_shadow.png,tile_helper,common,208x256,yes,atlas,tiles_common,P0,PLANNED
TILE-COM-02,tile_overlay_selected.png,tile_helper,common,208x256,yes,atlas,tiles_common,P0,PLANNED
TILE-COM-03,tile_overlay_hint.png,tile_helper,common,208x256,yes,atlas,tiles_common,P0,PLANNED
TILE-COM-04,tile_overlay_blocked.png,tile_helper,common,192x240,yes,atlas,tiles_common,P0,PLANNED
TILE-SYM-01,tile_symbol_01_bamboo.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-02,tile_symbol_02_circle.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-03,tile_symbol_03_character.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-04,tile_symbol_04_red_dragon.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-05,tile_symbol_05_green_dragon.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-06,tile_symbol_06_east_wind.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-07,tile_symbol_07_south_wind.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-08,tile_symbol_08_white_dragon.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-09,tile_symbol_09_lotus.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-10,tile_symbol_10_sakura.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-11,tile_symbol_11_fan.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-12,tile_symbol_12_jade_coin.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-13,tile_symbol_13_scroll.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-14,tile_symbol_14_lantern.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-15,tile_symbol_15_koi.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-16,tile_symbol_16_wave.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-17,tile_symbol_17_cloud.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-18,tile_symbol_18_bridge.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-19,tile_symbol_19_torii_gate.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-20,tile_symbol_20_bell.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-21,tile_symbol_21_mountain.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-22,tile_symbol_22_sun_disc.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-23,tile_symbol_23_crane.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
TILE-SYM-24,tile_symbol_24_crescent_moon.png,tile_symbol,common,144x144,yes,atlas,tiles_common,P0,APPROVED
BST-01,booster_hint.png,booster,common,160x160,yes,atlas,ui_game,P0,PLANNED
BST-02,booster_shuffle.png,booster,common,160x160,yes,atlas,ui_game,P0,PLANNED
BST-03,booster_lotus_blessing.png,booster,common,160x160,yes,atlas,ui_game,P0,PLANNED
UI-003,ui_icon_coin.png,ui,common,96x96,yes,atlas,ui_common,P0,PLANNED
UI-004,ui_icon_petal.png,ui,common,96x96,yes,atlas,ui_common,P0,PLANNED
MAP-COM-01,map_node_locked.png,map_node,common,160x160,yes,atlas,map_common,P0,PLANNED
MAP-COM-02,map_node_available.png,map_node,common,160x160,yes,atlas,map_common,P0,PLANNED
MAP-COM-03,map_node_completed.png,map_node,common,160x160,yes,atlas,map_common,P0,PLANNED
MAP-COM-04,map_node_milestone.png,map_node,common,176x176,yes,atlas,map_common,P0,PLANNED
CH1-BG-01,ch1_bg_far.webp,background,ch1,1920x1080,no,separate,,P0,PLANNED
CH1-BG-02,ch1_bg_water.webp,background,ch1,1920x1080,no,separate,,P0,PLANNED
CH1-BG-03,ch1_fg_soft.png,foreground,ch1,1920x1080,yes,separate,,P0,PLANNED
CH2-BG-01,ch2_bg_far.webp,background,ch2,1920x1080,no,separate,,P0,PLANNED
CH2-BG-02,ch2_bg_garden.webp,background,ch2,1920x1080,no,separate,,P0,PLANNED
CH2-BG-03,ch2_fg_sakura.png,foreground,ch2,1920x1080,yes,separate,,P0,PLANNED
CH3-BG-01,ch3_bg_mountains.webp,background,ch3,1920x1080,no,separate,,P0,PLANNED
CH3-BG-02,ch3_bg_temple.webp,background,ch3,1920x1080,no,separate,,P0,PLANNED
CH3-BG-03,ch3_fg_architecture.png,foreground,ch3,1920x1080,yes,separate,,P0,PLANNED
